# Old Kanji Reference missing metadata

Generated by validate-meta.js.

missing count: 185

鋪	舗
買	買
遞	逓
擊	撃
盡	尽
潛	潜
俠	侠
倫	倫
偵	偵
倂	併
倉	倉
們	們
側	側
剋	剋
劒	剣
墮	堕
墻	塀
寢	寝
嶺	嶺
嶼	嶼
巒	巒
彎	弯
徵	徴
慘	惨
戲	戯
揀	揀
擺	擺
曉	暁
標	標
橋	橋
淚	涙
滯	滞
溫	温
爍	爍
爐	炉
獸	獣
獵	猟
祿	禄
稅	税
稻	稲
穡	穫
竊	窃
竝	並
竣	竣
筆	筆
筍	筍
箋	箋
粹	粋
糧	糧
繼	継
繩	縄
纖	繊
羣	群
翫	玩
翹	翹
連	連
脛	脛
腳	脚
膽	胆
禦	御
禍	禍
禎	禎
艷	艶
蘆	芦
虜	虜
虛	虚
蠶	蚕
護	護
觸	触
贊	賛
賓	賓
著	点
離	離
飮	飲
飯	飯
飯	飯
館	館
驅	駆
驕	驕
鬧	騒
虜	虜
魯	魯
魯	魯
鶴	鶴
麩	麩
𤋮	頗
頻	頻
類	類
礼	礼
祐	祐
綱	綱
網	網
練	練
繁	繁
織	織
罰	罰
羨	羨
翔	翔
﨧	翔
耗	耗
聖	聖
腫	腫
腺	腺
臨	臨
艦	艦
艇	艇
艶	艶
蕣	蕣
蘇	蘇
襖	襖
覆	覆
覇	覇
視	視
訂	訂
託	託
訟	訟
註	註
詔	詔
評	評
詞	詞
詰	詰
誇	誇
誤	誤
說	説
諦	諦
論	論
諸	諸
警	警
識	識
貧	貧
責	責
貴	貴
賢	賢
賦	賦
質	質
贈	贈
赦	赦
躍	躍
躰	体
載	載
輔	輔
輝	輝
輩	輩
輯	輯
輸	輸
邨	村
礦	鉱
鏡	鏡
鐘	鐘
閣	閣
閑	閑
闢	闢
阜	阜
陰	陰
霸	覇
難	難
難	難
霜	霜
霧	霧
靠	靠
頁	頁
頃	頃
頌	頌
須	須
頗	頗
頻	頻
願	願
類	類
飾	飾
餝	餝
館	館
駄	駄
駕	駕
駐	駐
駿	駿
驪	麗
鬮	鬮
鬨	鬨
魁	魁
魂	魂
魔	魔
鮮	鮮
鯨	鯨
鶴	鶴
墨	黙
